delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,0,0,0,5,0.02504049986600876,,0.01372399996034801,0.02504049986600876,1.0113343999255449,1.0113343999255449,1.0279755999799818,1.5624002998229116,space,0.5348043998237699,None,1.5634145999792963,2.2778211665029326,2.5901289999019355,2.5680834997911006,2.568118199938908,2.5901289999019355,2.5901289999019355,2.5901289999019355,6.579401199938729,700,1,[4.008894800208509],[4.008903100155294],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,1000,exp,0,1,1,9,6.595002499874681,,6.58102329983376,6.595002499874681,7.595235999906436,7.595235999906436,7.595235999906436,8.346232799813151,space,0.7428632001392543,None,8.346785199828446,8.46163486648972,8.769178699934855,8.755700399866328,8.75574449985288,8.769178699934855,8.769178699934855,8.769178699934855,11.879839699948207,800,1,[3.1217624000273645],[3.121773600112647],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.4,1000,exp,0,2,2,4,11.894989999942482,,11.880924599943683,11.894989999942482,12.895065399818122,12.895065399818122,12.895065399818122,13.496791899902746,space,0.5984542998485267,None,13.497647399781272,13.911723966539528,14.223401399794966,14.205822799820453,14.205873999977484,14.223401399794966,14.223401399794966,14.223401399794966,16.662389499833807,500,1,[2.454124200157821],[2.4541339001152664],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,1000,exp,0,3,3,3,16.6781371999532,,16.6636298999656,16.6781371999532,17.67822809983045,17.67822809983045,17.67822809983045,19.01251779985614,space,1.3227917000185698,None,19.01317059993744,19.12823026656794,19.438515999820083,19.425901599926874,19.426120499847457,19.438515999820083,19.438515999820083,19.438515999820083,24.812895899871364,555,1,[5.384676499990746],[5.38468679995276],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,400,unexp,0,4,4,0,24.827646099962294,,24.813892199890688,24.827646099962294,25.827973200008273,25.827973200008273,25.827973200008273,27.02880009985529,space,1.1969984997995198,None,27.029490899993107,27.144460766638318,27.447041200008243,27.433422999922186,27.43346619978547,27.447041200008243,27.447041200008243,27.447041200008243,29.74620969989337,450,1,[2.310752599965781],[2.3107634000480175],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.7,1000,exp,0,5,5,11,29.761109499959275,,29.747202099999413,29.761109499959275,30.76127259992063,30.76127259992063,30.76127259992063,32.14592589996755,space,1.3688999000005424,None,32.14665579982102,32.86098556645835,33.17097879992798,33.15642559994012,33.15647379984148,33.17097879992798,33.17097879992798,33.17097879992798,38.12930189981125,975,1,[4.970594299957156],[4.9706077999435365],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.7,400,unexp,0,6,6,2,38.14408869994804,,38.13019629986957,38.14408869994804,39.14435529988259,39.14435529988259,39.14435529988259,39.67950169998221,space,0.5324997999705374,None,39.680271099787205,40.39409526653277,40.70873549999669,40.695817899890244,40.69586819992401,40.70873549999669,40.70873549999669,40.70873549999669,45.0787963999901,333,1,[4.380317399976775],[4.380329899955541],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.4,1000,exp,0,7,7,7,45.09410719992593,,45.0798125998117,45.09410719992593,46.09363519982435,46.09363519982435,46.09363519982435,46.7783265998587,space,0.6772038000635803,None,46.77900859992951,47.19337356655548,47.49864489980973,47.48616879992187,47.48623069981113,47.49864489980973,47.49864489980973,47.49864489980973,50.04549499996938,500,1,[2.5569282001815736],[2.5569383001420647],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.4,400,unexp,0,8,8,1,50.06053619994782,,50.04739229986444,50.06053619994782,51.0603832998313,51.0603832998313,51.0603832998313,51.59526199987158,space,0.5287242999766022,None,51.59600819996558,52.01065656665402,52.32041039993055,52.30618319986388,52.306222199928015,52.32041039993055,52.32041039993055,52.32041039993055,56.76247479999438,634,1,[4.454185199923813],[4.454215799923986],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.1,1000,exp,0,9,9,6,56.77690409985371,,56.7633962999098,56.77690409985371,57.777069699950516,57.777069699950516,57.777069699950516,58.32826769980602,space,0.541624499950558,None,58.328975199954584,58.443639366483936,58.758882499998435,58.74606869998388,58.746113599976525,58.758882499998435,58.758882499998435,58.758882499998435,61.6627902998589,500,1,[2.9144026001449674],[2.914416200015694],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
0.4,1000,exp,0,10,10,10,61.676767899887636,,61.66430599987507,61.676767899887636,62.677016199799255,62.677016199799255,62.677016199799255,63.478597699897364,space,0.7900869001168758,None,63.47927379980683,63.893351066454,64.2087643998675,64.19609609991312,64.19614549982361,64.2087643998675,64.2087643998675,64.2087643998675,67.12760229990818,700,1,[2.929505599895492],[2.9295151999685913],088775,001,2024-11-08_14h58.10.819,Priyanshi.AU2220101_Intentional.binding,2024.1.5,None,2024-11-08 14h58.19.123752 +0530,
